Model,Algorithm,Cycle Time (ms),Total Latency (ms),Bubble Rate (%),Throughput (img/s),Latencies (ms),Partition Plan
resnet50,baseline,7.01,26.47,5.67,4562.32,"[7.01, 6.97, 6.53, 5.95]","[31, 38, 52, 54]"
resnet50,scdp,6.93,26.4,4.74,4619.09,"[6.93, 6.75, 6.48, 6.25]","[58, 51, 37, 31]"
resnet50,optimal,6.93,26.43,4.67,4616.63,"[6.93, 6.75, 6.39, 6.36]","[59, 50, 37, 31]"
mobilenet_v2,baseline,3.47,9.82,29.18,9230.33,"[3.47, 2.8, 1.9, 1.65]","[18, 34, 52, 49]"
mobilenet_v2,scdp,3.31,9.88,25.32,9674.57,"[3.31, 2.89, 1.82, 1.86]","[54, 52, 31, 18]"
mobilenet_v2,optimal,3.29,9.89,24.92,9713.89,"[3.29, 2.89, 1.91, 1.8]","[53, 53, 31, 18]"
vit,baseline,7.2,20.02,30.45,4447.51,"[5.54, 7.2, 7.17, 0.11]","[10, 3, 3, 2]"
vit,scdp,5.54,19.96,10.02,5771.04,"[5.54, 4.84, 4.78, 4.79]","[5, 2, 2, 13]"
vit,optimal,5.54,19.64,11.42,5773.12,"[5.54, 4.76, 4.68, 4.66]","[5, 2, 2, 13]"
llama,baseline,2.93,10.77,7.98,10934.1,"[2.93, 2.67, 2.69, 2.49]","[23, 25, 22, 13]"
llama,scdp,3.13,10.83,13.56,10213.31,"[2.46, 2.85, 2.39, 3.13]","[21, 20, 21, 23]"
llama,optimal,3.13,10.77,14.09,10212.22,"[2.42, 2.42, 2.79, 3.13]","[21, 21, 22, 21]"
