Batch,Baseline_Latency_s,Hpipe_Latency_s,Baseline_Memory_MB,Hpipe_Memory_MB
0,0.5064270496368408,0.5200724601745605,1303.6455078125,1303.6728515625
1,0.0061953067779541016,0.00617527961730957,1303.64599609375,1303.67333984375
2,0.005952119827270508,0.005939960479736328,1303.64599609375,1303.67333984375
3,0.005921840667724609,0.005916118621826172,1303.64599609375,1303.67333984375
4,0.00591731071472168,0.00594639778137207,1303.64599609375,1303.67333984375
5,0.005910634994506836,0.005910158157348633,1303.64599609375,1303.67333984375
6,0.005917787551879883,0.005909442901611328,1303.64599609375,1303.67333984375
7,0.005914926528930664,0.005911111831665039,1303.64599609375,1303.67333984375
8,0.005921840667724609,0.005901336669921875,1303.64599609375,1303.67333984375
9,0.0059108734130859375,0.0059049129486083984,1303.64599609375,1303.67333984375
10,0.005916595458984375,0.005905866622924805,1303.64599609375,1303.67333984375
11,0.005935192108154297,0.005906343460083008,1303.64599609375,1303.67333984375
12,0.005918741226196289,0.005908966064453125,1303.64599609375,1303.67333984375
13,0.00591731071472168,0.0058956146240234375,1303.64599609375,1303.67333984375
14,0.005912065505981445,0.00589442253112793,1303.64599609375,1303.67333984375
15,0.0059108734130859375,0.005910158157348633,1303.64599609375,1303.67333984375
16,0.005915641784667969,0.005898714065551758,1303.64599609375,1303.67333984375
17,0.00592350959777832,0.0058994293212890625,1303.64599609375,1303.67333984375
18,0.005910396575927734,0.005914449691772461,1303.64599609375,1303.67333984375
19,0.005923271179199219,0.0059244632720947266,1303.64599609375,1303.67333984375
20,0.0059206485748291016,0.005901813507080078,1303.64599609375,1303.67333984375
21,0.005908489227294922,0.005911350250244141,1303.64599609375,1303.67333984375
22,0.005915164947509766,0.0059010982513427734,1303.64599609375,1303.67333984375
23,0.005906581878662109,0.005907773971557617,1303.64599609375,1303.67333984375
24,0.005848884582519531,0.005899906158447266,1303.64599609375,1303.67333984375
25,0.005801200866699219,0.005909442901611328,1303.64599609375,1303.67333984375
26,0.0058252811431884766,0.005905628204345703,1303.64599609375,1303.67333984375
27,0.005803823471069336,0.0059051513671875,1303.64599609375,1303.67333984375
28,0.0058078765869140625,0.0059010982513427734,1303.64599609375,1303.67333984375
29,0.005792856216430664,0.0059032440185546875,1303.64599609375,1303.67333984375
30,0.005805492401123047,0.005893707275390625,1303.64599609375,1303.67333984375
31,0.005789041519165039,0.005900859832763672,1303.64599609375,1303.67333984375
32,0.005812406539916992,0.005799770355224609,1303.64599609375,1303.67333984375
33,0.005791902542114258,0.005797863006591797,1303.64599609375,1303.67333984375
34,0.0058019161224365234,0.005789756774902344,1303.64599609375,1303.67333984375
35,0.005793094635009766,0.0057849884033203125,1303.64599609375,1303.67333984375
36,0.005799293518066406,0.006121635437011719,1303.64599609375,1303.67333984375
37,0.005777835845947266,0.0057833194732666016,1303.64599609375,1303.67333984375
38,0.005769968032836914,0.005771636962890625,1303.64599609375,1303.67333984375
39,0.0057811737060546875,0.005770683288574219,1303.64599609375,1303.67333984375
40,0.005784034729003906,0.00577092170715332,1303.64599609375,1303.67333984375
41,0.005780696868896484,0.005765676498413086,1303.64599609375,1303.67333984375
42,0.0057773590087890625,0.005771160125732422,1303.64599609375,1303.67333984375
43,0.005779266357421875,0.0057756900787353516,1303.64599609375,1303.67333984375
44,0.005778312683105469,0.005772590637207031,1303.64599609375,1303.67333984375
45,0.005799293518066406,0.005778312683105469,1303.64599609375,1303.67333984375
46,0.00578761100769043,0.005772829055786133,1303.64599609375,1303.67333984375
47,0.0057830810546875,0.005766630172729492,1303.64599609375,1303.67333984375
48,0.005776882171630859,0.005777835845947266,1303.64599609375,1303.67333984375
49,0.0057888031005859375,0.005765438079833984,1303.64599609375,1303.67333984375
50,0.005789279937744141,0.00576019287109375,1303.64599609375,1303.67333984375
51,0.10101938247680664,0.10128617286682129,1303.64599609375,1303.67333984375
52,0.10151410102844238,0.10154557228088379,1303.64599609375,1303.67333984375
53,0.10151433944702148,0.10182762145996094,1303.64599609375,1303.67333984375
54,0.10175681114196777,0.10182070732116699,1303.64599609375,1303.67333984375
55,0.10183572769165039,0.10174012184143066,1303.64599609375,1303.67333984375
56,0.10154008865356445,0.10162806510925293,1303.64599609375,1303.67333984375
57,0.1015472412109375,0.10168099403381348,1303.64599609375,1303.67333984375
58,0.10154008865356445,0.10120654106140137,1303.64599609375,1303.67333984375
59,0.10158419609069824,0.10163092613220215,1303.64599609375,1303.67333984375
60,2.1354570388793945,0.10146617889404297,1504.48583984375,1504.48583984375
61,0.10135269165039062,0.10125994682312012,1504.04833984375,1504.04833984375
62,0.10142779350280762,0.10154438018798828,1504.04833984375,1504.04833984375
63,0.10133552551269531,0.10131120681762695,1504.04833984375,1504.04833984375
64,0.1013181209564209,0.10132312774658203,1504.04833984375,1504.04833984375
65,0.10134720802307129,0.1012885570526123,1504.04833984375,1504.04833984375
66,0.10133194923400879,0.10132074356079102,1504.04833984375,1504.04833984375
67,0.10132813453674316,0.10126185417175293,1504.04833984375,1504.04833984375
68,0.10128974914550781,0.10133934020996094,1504.04833984375,1504.04833984375
69,0.10127687454223633,0.10164403915405273,1504.04833984375,1504.04833984375
70,0.10131692886352539,0.10128521919250488,1504.04833984375,1504.04833984375
71,0.10132884979248047,0.10122871398925781,1504.04833984375,1504.04833984375
72,0.10137438774108887,0.10128283500671387,1504.04833984375,1504.04833984375
73,0.10152626037597656,0.1012260913848877,1504.04833984375,1504.04833984375
74,0.1012880802154541,0.10129094123840332,1504.04833984375,1504.04833984375
75,0.10129737854003906,0.10129714012145996,1504.04833984375,1504.04833984375
76,0.10085582733154297,0.1012868881225586,1504.04833984375,1504.04833984375
77,0.10135459899902344,0.10146117210388184,1504.04833984375,1504.04833984375
78,0.10130476951599121,0.10138893127441406,1504.04833984375,1504.04833984375
79,0.10159611701965332,0.10085439682006836,1504.04833984375,1504.04833984375
80,0.10147881507873535,0.10129475593566895,1504.04833984375,1504.04833984375
81,0.10142636299133301,0.10139179229736328,1504.04833984375,1504.04833984375
82,0.10161924362182617,0.10154938697814941,1504.04833984375,1504.04833984375
83,0.1014859676361084,0.10125899314880371,1504.04833984375,1504.04833984375
84,0.1013333797454834,0.101318359375,1504.04833984375,1504.04833984375
85,0.10125350952148438,0.10121726989746094,1504.04833984375,1504.04833984375
