Batch,Baseline_Latency_s,Hpipe_Latency_s,Baseline_Memory_MB,Hpipe_Memory_MB
0,0.43288564682006836,0.4591531753540039,44.05126953125,56.07666015625
1,0.006584644317626953,0.005401134490966797,52.1923828125,64.2177734375
2,0.005910634994506836,0.0050661563873291016,52.1923828125,64.2177734375
3,0.005966901779174805,0.0043392181396484375,52.1923828125,64.2177734375
4,0.005862712860107422,0.004958152770996094,52.1923828125,64.2177734375
5,0.005959749221801758,0.004396677017211914,52.1923828125,64.2177734375
6,0.0058863162994384766,0.005013465881347656,52.1923828125,64.2177734375
7,0.005856513977050781,0.004564523696899414,52.1923828125,64.2177734375
8,0.005933046340942383,0.0049479007720947266,52.1923828125,64.2177734375
9,0.00492405891418457,0.0042722225189208984,52.1923828125,64.2177734375
10,0.0053369998931884766,0.004924774169921875,52.1923828125,64.2177734375
11,0.004804849624633789,0.004393100738525391,52.1923828125,64.2177734375
12,0.005306243896484375,0.004958629608154297,52.1923828125,64.2177734375
13,0.004777431488037109,0.0049211978912353516,52.1923828125,64.2177734375
14,0.005290985107421875,0.005032777786254883,52.1923828125,64.2177734375
15,0.004867076873779297,0.004171848297119141,52.1923828125,64.2177734375
16,0.005293607711791992,0.0048542022705078125,52.1923828125,64.2177734375
17,0.004702091217041016,0.004266977310180664,52.1923828125,64.2177734375
18,0.005284547805786133,0.0048372745513916016,52.1923828125,64.2177734375
19,0.0048618316650390625,0.003854036331176758,52.1923828125,64.2177734375
20,0.0052530765533447266,0.004871368408203125,52.1923828125,64.2177734375
21,0.004802703857421875,0.003869295120239258,52.1923828125,64.2177734375
22,0.005280733108520508,0.0047168731689453125,52.1923828125,64.2177734375
23,0.0057981014251708984,0.004240512847900391,52.1923828125,64.2177734375
24,0.0056171417236328125,0.006695747375488281,52.1923828125,64.2177734375
25,0.0042476654052734375,0.004877328872680664,52.1923828125,64.2177734375
26,0.005196571350097656,0.005828142166137695,52.1923828125,64.2177734375
27,0.004377126693725586,0.0048980712890625,52.1923828125,64.2177734375
28,0.0051116943359375,0.005812883377075195,52.1923828125,64.2177734375
29,0.004534244537353516,0.004941463470458984,52.1923828125,64.2177734375
30,0.005032777786254883,0.005481243133544922,52.1923828125,64.2177734375
31,0.004389047622680664,0.004923105239868164,52.1923828125,64.2177734375
32,0.005076169967651367,0.005476236343383789,52.1923828125,64.2177734375
33,0.004541873931884766,0.0049822330474853516,52.1923828125,64.2177734375
34,0.005077838897705078,0.005456686019897461,52.1923828125,64.2177734375
35,0.004561662673950195,0.004882097244262695,52.1923828125,64.2177734375
36,0.004972934722900391,0.005127429962158203,52.1923828125,64.2177734375
37,0.004415035247802734,0.004848957061767578,52.1923828125,64.2177734375
38,0.005164623260498047,0.005435466766357422,52.1923828125,64.2177734375
39,0.00437474250793457,0.0048923492431640625,52.1923828125,64.2177734375
40,0.005023002624511719,0.005488872528076172,52.1923828125,64.2177734375
41,0.004477977752685547,0.004865407943725586,52.1923828125,64.2177734375
42,0.0050580501556396484,0.005465030670166016,52.1923828125,64.2177734375
43,0.004401206970214844,0.004953622817993164,52.1923828125,64.2177734375
44,0.005038261413574219,0.00573420524597168,52.1923828125,64.2177734375
45,0.00453948974609375,0.0051233768463134766,52.1923828125,64.2177734375
46,0.004880428314208984,0.005430936813354492,52.1923828125,64.2177734375
47,0.004475116729736328,0.004951953887939453,52.1923828125,64.2177734375
48,0.005070924758911133,0.005453348159790039,52.1923828125,64.2177734375
49,0.0044057369232177734,0.004940509796142578,52.1923828125,64.2177734375
50,0.004979610443115234,0.0055408477783203125,52.1923828125,64.2177734375
51,0.02454829216003418,0.02444934844970703,52.1923828125,64.2177734375
52,0.025156021118164062,0.024692296981811523,52.1923828125,64.2177734375
53,0.02494525909423828,0.024517297744750977,52.1923828125,64.2177734375
54,0.024793386459350586,0.024387359619140625,52.1923828125,64.2177734375
55,0.02471184730529785,0.02437138557434082,52.1923828125,64.2177734375
56,0.024785280227661133,0.024538278579711914,52.1923828125,64.2177734375
57,0.024712562561035156,0.02429986000061035,52.1923828125,64.2177734375
58,0.024573564529418945,0.024802446365356445,52.1923828125,64.2177734375
59,0.024772167205810547,0.025061607360839844,52.1923828125,64.2177734375
60,1.0369436740875244,0.014737129211425781,52.1923828125,64.2177734375
61,0.011343240737915039,0.011078834533691406,65.0927734375,64.2177734375
62,0.011338233947753906,0.011091470718383789,65.0927734375,64.2177734375
63,0.011329889297485352,0.01117563247680664,65.0927734375,64.2177734375
64,0.011493206024169922,0.011165618896484375,65.0927734375,64.2177734375
65,0.011303901672363281,0.0111541748046875,65.0927734375,64.2177734375
66,0.011252641677856445,0.011168956756591797,65.0927734375,64.2177734375
67,0.011301279067993164,0.011062383651733398,65.0927734375,64.2177734375
68,0.011300325393676758,0.010935783386230469,65.0927734375,64.2177734375
